23.30	981.28	42.11
23.40	991.40	42.37
23.50	1001.60	42.62
23.60	1011.85	42.87
23.70	1022.17	43.13
23.80	1032.56	43.38
23.90	1043.02	43.64
24.00	1053.54	43.90
24.10	1064.13	44.15
24.20	1074.79	44.41
24.30	1085.52	44.67
24.40	1096.31	44.93
24.50	1107.17	45.19
24.60	1118.10	45.45
24.70	1129.10	45.71
24.80	1140.17	45.97
24.90	1151.30	46.24
25.00	1162.51	46.50
25.10	1173.78	46.76
25.20	1185.13	47.03
25.30	1196.54	47.29
25.40	1208.03	47.56
25.50	1219.58	47.83
25.60	1231.21	48.09
25.70	1242.90	48.36
25.80	1254.67	48.63
25.90	1266.51	48.90
26.00	1278.41	49.17
26.10	1290.40	49.44
26.20	1302.45	49.71
26.30	1314.57	49.98
26.40	1326.77	50.26
26.50	1339.04	50.53
26.60	1351.38	50.80
26.70	1363.79	51.08
26.80	1376.28	51.35
26.90	1388.84	51.63
27.00	1401.47	51.91
27.10	1414.18	52.18
27.20	1426.96	52.46
27.30	1439.82	52.74
27.40	1452.75	53.02
27.50	1465.75	53.30
27.60	1478.83	53.58
27.70	1491.99	53.86
27.80	1505.22	54.14
27.90	1518.52	54.43
28.00	1531.91	54.71
28.10	1545.36	54.99
28.20	1558.90	55.28
28.30	1572.51	55.57
28.40	1586.19	55.85
28.50	1599.96	56.14
28.60	1613.80	56.43
28.70	1627.71	56.71
28.80	1641.71	57.00
28.90	1655.78	57.29
29.00	1669.93	57.58
29.10	1684.16	57.87
29.20	1698.47	58.17
29.30	1712.85	58.46
29.40	1727.32	58.75
29.50	1741.86	59.05
29.60	1756.49	59.34
29.70	1771.19	59.64
29.80	1785.97	59.93
29.90	1800.83	60.23
30.00	1815.78	60.53
30.10	1830.80	60.82
30.20	1845.90	61.12
30.30	1861.09	61.42
30.40	1876.36	61.72
30.50	1891.70	62.02
30.60	1907.13	62.32
30.70	1922.64	62.63
30.80	1938.23	62.93
30.90	1953.91	63.23
31.00	1969.67	63.54
31.10	1985.51	63.84
31.20	2001.43	64.15
31.30	2017.44	64.45
31.40	2033.53	64.76
31.50	2049.70	65.07
31.60	2065.96	65.38
31.70	2082.30	65.69
31.80	2098.73	66.00
31.90	2115.24	66.31
32.00	2131.83	66.62
32.10	2148.51	66.93
32.20	2165.28	67.24
32.30	2182.13	67.56
32.40	2199.07	67.87
32.50	2216.09	68.19
32.60	2233.20	68.50
32.70	2250.40	68.82
32.80	2267.68	69.14
32.90	2285.05	69.45
33.00	2302.50	69.77
33.10	2320.05	70.09
33.20	2337.68	70.41
33.30	2355.40	70.73
33.40	2373.21	71.05
33.50	2391.10	71.38
33.60	2409.09	71.70
33.70	2427.16	72.02
33.80	2445.32	72.35
33.90	2463.58	72.67
34.00	2481.92	73.00
34.10	2500.35	73.32
34.20	2518.87	73.65
34.30	2537.48	73.98
34.40	2556.19	74.31
34.50	2574.98	74.64
34.60	2593.86	74.97
34.70	2612.84	75.30
34.80	2631.90	75.63
34.90	2651.06	75.96
35.00	2670.31	76.29
35.10	2689.66	76.63
35.20	2709.09	76.96
35.30	2728.62	77.30
35.40	2748.24	77.63
35.50	2767.95	77.97
35.60	2787.76	78.31
35.70	2807.66	78.65
35.80	2827.66	78.98
35.90	2847.75	79.32
36.00	2867.93	79.66
36.10	2888.21	80.01
36.20	2908.58	80.35
36.30	2929.05	80.69
36.40	2949.62	81.03
36.50	2970.28	81.38
36.60	2991.03	81.72
36.70	3011.88	82.07
36.80	3032.83	82.41
36.90	3053.88	82.76
37.00	3075.02	83.11
37.10	3096.26	83.46
37.20	3117.59	83.81
37.30	3139.03	84.16
37.40	3160.56	84.51
37.50	3182.19	84.86
37.60	3203.92	85.21
37.70	3225.74	85.56
37.80	3247.67	85.92
37.90	3269.70	86.27
38.00	3291.82	86.63
38.10	3314.04	86.98
38.20	3336.37	87.34
38.30	3358.79	87.70
38.40	3381.32	88.06
38.50	3403.94	88.41
38.60	3426.67	88.77
38.70	3449.50	89.13
38.80	3472.43	89.50
38.90	3495.45	89.86
39.00	3518.59	90.22
39.10	3541.82	90.58
39.20	3565.16	90.95
39.30	3588.60	91.31
39.40	3612.14	91.68
39.50	3635.79	92.05
39.60	3659.54	92.41
39.70	3683.39	92.78
39.80	3707.35	93.15
39.90	3731.41	93.52
40.00	3755.58	93.89
40.10	3779.85	94.26
40.20	3804.22	94.63
40.30	3828.71	95.01
40.40	3853.29	95.38
40.50	3877.98	95.75
40.60	3902.78	96.13
40.70	3927.69	96.50
40.80	3952.70	96.88
40.90	3977.82	97.26
41.00	4003.04	97.64
41.10	4028.38	98.01
41.20	4053.82	98.39
41.30	4079.36	98.77
41.40	4105.02	99.16
41.50	4130.79	99.54
41.60	4156.66	99.92
41.70	4182.64	100.30
41.80	4208.73	100.69
41.90	4234.94	101.07
42.00	4261.25	101.46
42.10	4287.67	101.85
42.20	4314.20	102.23
42.30	4340.84	102.62
42.40	4367.59	103.01
42.50	4394.46	103.40
42.60	4421.43	103.79
42.70	4448.52	104.18
42.80	4475.72	104.57
42.90	4503.03	104.97
43.00	4530.45	105.36
43.10	4557.99	105.75
43.20	4585.64	106.15
43.30	4613.40	106.55
43.40	4641.28	106.94
43.50	4669.27	107.34
43.60	4697.37	107.74
43.70	4725.59	108.14
43.80	4753.92	108.54
43.90	4782.37	108.94
44.00	4810.93	109.34
44.10	4839.61	109.74
44.20	4868.40	110.15
44.30	4897.31	110.55
44.40	4926.34	110.95
44.50	4955.48	111.36
44.60	4984.74	111.77
44.70	5014.12	112.17
44.80	5043.61	112.58
44.90	5073.22	112.99
45.00	5102.95	113.40
45.10	5132.80	113.81
45.20	5162.76	114.22
45.30	5192.85	114.63
45.40	5223.05	115.05
45.50	5253.37	115.46
45.60	5283.81	115.87
45.70	5314.37	116.29
45.80	5345.06	116.70
45.90	5375.86	117.12
46.00	5406.78	117.54
46.10	5437.83	117.96
46.20	5468.99	118.38
46.30	5500.28	118.80
46.40	5531.69	119.22
46.50	5563.22	119.64
46.60	5594.87	120.06
46.70	5626.64	120.49
46.80	5658.54	120.91
46.90	5690.56	121.33
47.00	5722.71	121.76
47.10	5754.98	122.19
47.20	5787.37	122.61
47.30	5819.89	123.04
47.40	5852.53	123.47
47.50	5885.29	123.90
47.60	5918.19	124.33
47.70	5951.21	124.76
47.80	5984.35	125.20
47.90	6017.62	125.63
48.00	6051.01	126.06
48.10	6084.54	126.50
48.20	6118.18	126.93
48.30	6151.96	127.37
48.40	6185.86	127.81
48.50	6219.89	128.25
48.60	6254.05	128.68
48.70	6288.34	129.12
48.80	6322.76	129.57
48.90	6357.30	130.01
49.00	6391.98	130.45
49.10	6426.78	130.89
49.20	6461.72	131.34
49.30	6496.78	131.78
49.40	6531.97	132.23
49.50	6567.30	132.67
49.60	6602.75	133.12
49.70	6638.34	133.57
49.80	6674.06	134.02
49.90	6709.91	134.47
50.00	6745.90	134.92
50.10	6782.01	135.37
50.20	6818.26	135.82
50.30	6854.64	136.28
50.40	6891.15	136.73
50.50	6927.80	137.18
50.60	6964.58	137.64
50.70	7001.50	138.10
50.80	7038.55	138.55
50.90	7075.73	139.01
51.00	7113.06	139.47
51.10	7150.51	139.93
51.20	7188.10	140.39
51.30	7225.83	140.85
51.40	7263.69	141.32
51.50	7301.69	141.78
51.60	7339.83	142.25
51.70	7378.11	142.71
51.80	7416.52	143.18
51.90	7455.07	143.64
52.00	7493.76	144.11
52.10	7532.58	144.58
52.20	7571.55	145.05
52.30	7610.66	145.52
52.40	7649.90	145.99
52.50	7689.28	146.46
52.60	7728.80	146.94
52.70	7768.47	147.41
52.80	7808.27	147.88
52.90	7848.22	148.36
53.00	7888.30	148.84
53.10	7928.53	149.31
53.20	7968.90	149.79
53.30	8009.41	150.27
53.40	8050.07	150.75
53.50	8090.87	151.23
53.60	8131.81	151.71
53.70	8172.89	152.20
53.80	8214.11	152.68
53.90	8255.49	153.16
54.00	8297.00	153.65
